,date,price
364,2018.11.30,4322.976392
365,2018.12.01,4309.377312
366,2018.12.02,4301.519412
367,2018.12.03,4155.979284
368,2018.12.04,4075.627655
369,2018.12.05,3969.535852
370,2018.12.06,3874.966031
371,2018.12.07,3512.590409
372,2018.12.08,3506.043392
373,2018.12.09,3685.3056
374,2018.12.10,3647.332582
375,2018.12.11,3513.184941
376,2018.12.12,3534.22858
377,2018.12.13,3489.739395
378,2018.12.14,3329.556021
379,2018.12.15,3275.377827
380,2018.12.16,3305.753108
381,2018.12.17,3597.917889
382,2018.12.18,3701.349429
383,2018.12.19,3949.322951
384,2018.12.20,4191.228706
385,2018.12.21,4198.42958
386,2018.12.22,4014.182514
387,2018.12.23,4085.723585
388,2018.12.24,4271.79245
389,2018.12.25,4089.561593
390,2018.12.26,3893.359731
391,2018.12.27,3874.41688
392,2018.12.28,3956.136094
393,2018.12.29,3963.758808
394,2018.12.30,3901.909016
395,2018.12.31,3868.742988
396,2019.01.01,3850.913765
397,2019.01.02,3947.981273
398,2019.01.03,3935.685131
399,2019.01.04,3865.934532
400,2019.01.05,3904.903096
401,2019.01.06,4093.297444
402,2019.01.07,4092.613437
403,2019.01.08,4109.021065
404,2019.01.09,4068.403581
405,2019.01.10,4064.066551
406,2019.01.11,3713.881847
407,2019.01.12,3698.978349
408,2019.01.13,3674.759987
409,2019.01.14,3727.836291
410,2019.01.15,3720.153415
411,2019.01.16,3685.77706
412,2019.01.17,3680.136011
413,2019.01.18,3682.520002
414,2019.01.19,3758.533523
415,2019.01.20,3743.387971
416,2019.01.21,3608.840849
417,2019.01.22,3620.746551
418,2019.01.23,3623.067752
419,2019.01.24,3616.087414
420,2019.01.25,3612.927662
421,2019.01.26,3654.933193
422,2019.01.27,3612.671428
423,2019.01.28,3586.750878
424,2019.01.29,3476.065364
425,2019.01.30,3495.174888
426,2019.01.31,3504.804885
427,2019.02.01,3501.954135
428,2019.02.02,3523.287332
429,2019.02.03,3521.38822
430,2019.02.04,3476.223778
431,2019.02.05,3478.148116
432,2019.02.06,3469.091701
433,2019.02.07,3427.94561
434,2019.02.08,3695.613975
435,2019.02.09,3679.94151
436,2019.02.10,3695.036013
437,2019.02.11,3695.613039
438,2019.02.12,3668.586833
439,2019.02.13,3669.746511
440,2019.02.14,3646.256597
441,2019.02.15,3647.795064
442,2019.02.16,3652.841267
443,2019.02.17,3652.841267
444,2019.02.18,3936.665001
445,2019.02.19,4010.879422
446,2019.02.20,4000.486295
447,2019.02.21,4010.009483
448,2019.02.22,4006.538387
449,2019.02.23,4166.286161
450,2019.02.24,4210.641755
451,2019.02.25,3913.707265
452,2019.02.26,3891.578962
453,2019.02.27,3888.802588
454,2019.02.28,3906.058428
455,2019.03.01,3907.795486
456,2019.03.02,3874.607484
457,2019.03.03,3875.483714
458,2019.03.04,3867.381811
459,2019.03.05,3903.916754
460,2019.03.06,3919.510518
461,2019.03.07,3939.373396
462,2019.03.08,3950.432238
463,2019.03.09,3987.237785
464,2019.03.10,3966.174233
465,2019.03.11,3966.384737
466,2019.03.12,3926.889083
467,2019.03.13,3926.597729
468,2019.03.14,3946.504287
469,2019.03.15,3968.542866
470,2019.03.16,4077.036282
471,2019.03.17,4054.122014
472,2019.03.18,4071.556731
473,2019.03.19,4082.216011
474,2019.03.20,4089.461892
475,2019.03.21,4097.359953
476,2019.03.22,4053.906677
477,2019.03.23,4049.882486
478,2019.03.24,4040.699625
479,2019.03.25,4038.840894
480,2019.03.26,3985.080803
481,2019.03.27,4087.06623
482,2019.03.28,4094.902174
483,2019.03.29,4113.500832
484,2019.03.30,4296.80665
485,2019.03.31,4113.023613
486,2019.04.01,4164.953324
487,2019.04.02,4905.954433
488,2019.04.03,5307.003609
489,2019.04.04,5063.159726
490,2019.04.05,5053.509974
491,2019.04.06,5205.821931
492,2019.04.07,5235.186435
493,2019.04.08,5318.836488
494,2019.04.09,5289.917981
495,2019.04.10,5421.651468
496,2019.04.11,5354.225466
497,2019.04.12,5103.274409
498,2019.04.13,5127.122094
499,2019.04.14,5184.016064
500,2019.04.15,5196.606799
501,2019.04.16,5238.945238
502,2019.04.17,5274.275553
503,2019.04.18,5319.986114
504,2019.04.19,5336.680003
505,2019.04.20,5358.490493
506,2019.04.21,5359.92503
507,2019.04.22,5422.687422
508,2019.04.23,5633.802055
509,2019.04.24,5642.044593
510,2019.04.25,5542.238305
511,2019.04.26,5383.634415
512,2019.04.27,5310.750145
513,2019.04.28,5326.232015
514,2019.04.29,5311.274682
515,2019.04.30,5363.257523
516,2019.05.01,5418.004045
517,2019.05.02,5522.262557
518,2019.05.03,5865.882079
519,2019.05.04,5886.893499
520,2019.05.05,5833.862918
521,2019.05.06,5802.957535
522,2019.05.07,5988.178342
523,2019.05.08,5989.981147
524,2019.05.09,6183.039294
525,2019.05.10,6434.617662
526,2019.05.11,7333.003123
527,2019.05.12,7503.871833
528,2019.05.13,8047.413002
529,2019.05.14,8268.712679
530,2019.05.15,8216.423811
531,2019.05.16,8320.824355
532,2019.05.17,7929.145551
533,2019.05.18,7447.271741
534,2019.05.19,8261.941167
535,2019.05.20,8200.967997
536,2019.05.21,8062.16804
537,2019.05.22,7997.612439
538,2019.05.23,7943.79139
539,2019.05.24,8140.719918
540,2019.05.25,8117.925945
541,2019.05.26,8687.520799
542,2019.05.27,8907.174441
543,2019.05.28,8807.01614
544,2019.05.29,8755.852079
545,2019.05.30,9008.314568
546,2019.05.31,8586.659378
547,2019.06.01,8625.600259
548,2019.06.02,8809.303991
549,2019.06.03,8743.500124
550,2019.06.04,8210.985824
551,2019.06.05,7901.848905
552,2019.06.06,7937.340879
553,2019.06.07,8126.153483
554,2019.06.08,8076.891101
555,2019.06.09,7975.974326
556,2019.06.10,8031.909896
557,2019.06.11,8026.394218
558,2019.06.12,8196.648257
559,2019.06.13,8311.56743
560,2019.06.14,8710.636421
561,2019.06.15,8859.127467
562,2019.06.16,9335.866942
563,2019.06.17,9416.40744
564,2019.06.18,9348.374428
565,2019.06.19,9299.621044
566,2019.06.20,9594.420276
567,2019.06.21,10144.55672
568,2019.06.22,11157.34552
569,2019.06.23,11246.14418
570,2019.06.24,11065.89602
571,2019.06.25,11790.91653
572,2019.06.26,13796.48908
573,2019.06.27,13311.1443
574,2019.06.28,12445.17522
575,2019.06.29,12400.91022
576,2019.06.30,12178.38336
577,2019.07.01,11206.43986
578,2019.07.02,10912.18862
579,2019.07.03,11968.0777
580,2019.07.04,12006.07536
581,2019.07.05,11395.66136
582,2019.07.06,11620.96515
583,2019.07.07,11541.61987
584,2019.07.08,12345.83315
585,2019.07.09,12779.1321
586,2019.07.10,13129.52893
587,2019.07.11,12144.62279
588,2019.07.12,11905.48701
589,2019.07.13,11841.9572
590,2019.07.14,11451.20377
591,2019.07.15,11052.7668
592,2019.07.16,10996.63328
593,2019.07.17,9963.134428
594,2019.07.18,10736.84301
595,2019.07.19,10716.98067
596,2019.07.20,11048.66235
597,2019.07.21,10841.88778
598,2019.07.22,10651.7912
599,2019.07.23,10346.7477
600,2019.07.24,9908.797237
601,2019.07.25,10154.25403
602,2019.07.26,9916.51773
603,2019.07.27,10167.32056
604,2019.07.28,9575.545349
605,2019.07.29,9681.648008
606,2019.07.30,9701.759394
607,2019.07.31,10085.62775
608,2019.08.01,10446.92033
609,2019.08.02,10657.95271
610,2019.08.03,10946.78133
611,2019.08.04,11009.20691
612,2019.08.05,11895.09193
613,2019.08.06,12273.82138
614,2019.08.07,12036.98989
615,2019.08.08,11979.42017
616,2019.08.09,11970.45771
617,2019.08.10,11915.65526
618,2019.08.11,11523.57938
619,2019.08.12,11528.18937
620,2019.08.13,11420.04986
621,2019.08.14,10889.55692
622,2019.08.15,10437.41065
623,2019.08.16,10524.34983
624,2019.08.17,10452.62469
625,2019.08.18,10487.07024
626,2019.08.19,10916.05387
627,2019.08.20,10947.04172
628,2019.08.21,10798.72979
629,2019.08.22,10232.99603
630,2019.08.23,10442.44352
631,2019.08.24,10418.02043
632,2019.08.25,10304.62226
633,2019.08.26,10512.32775
634,2019.08.27,10381.32834
635,2019.08.28,10279.36599
636,2019.08.29,9756.785707
637,2019.08.30,9656.123926
638,2019.08.31,9673.22044
639,2019.09.01,9796.755968
640,2019.09.02,10396.59132
641,2019.09.03,10736.10472
642,2019.09.04,10762.64421
643,2019.09.05,10627.26987
644,2019.09.06,10898.76218
645,2019.09.07,10558.67371
646,2019.09.08,10595.63808
647,2019.09.09,10450.31153
648,2019.09.10,10394.35392
649,2019.09.11,10215.94779
650,2019.09.12,10442.25387
651,2019.09.13,10441.48902
652,2019.09.14,10422.13347
653,2019.09.15,10387.0349
654,2019.09.16,10386.86687
655,2019.09.17,10296.77172
656,2019.09.18,10275.92908
657,2019.09.19,10295.66899
